x,y,z,freq
0,4071.25,443.51,0
0,84.8499,8.62792,0.368324
0,84.4064,8.87301,0.736648
0,84.1285,8.42592,1.10497
0,82.7391,8.54079,1.4733
0,79.4028,8.9217,1.84162
0,77.189,8.32803,2.20994
0,74.8643,7.44102,2.57827
0,70.8798,7.74619,2.94659
0,65.3722,8.13505,3.31492
0,63.6957,7.02719,3.68324
0,59.7708,6.25061,4.05157
0,55.8022,5.35988,4.41989
0,51.0482,5.45418,4.78821
0,45.7156,4.80884,5.15654
0,40.4178,4.0842,5.52486
0,35.647,4.92585,5.89319
0,30.6767,4.33625,6.26151
0,26.4537,3.26394,6.62983
0,21.1511,2.23861,6.99816
0,16.4869,2.1575,7.36648
0,12.1723,1.59733,7.73481
0,8.95374,1.19268,8.10313
0,5.3874,1.94193,8.47145
0,1.20335,0.969759,8.83978
0,2.77347,3.36918,9.2081
0,6.1702,2.05163,9.57643
0,7.17757,0.391987,9.94475
0,10.1115,0.463684,10.3131
0,11.8853,0.48569,10.6814
0,15.2212,1.22571,11.0497
0,14.4159,0.835229,11.418
0,14.3201,0.0995692,11.7864
0,18.3329,9.27168,12.1547
0,9.08276,4.1184,12.523
0,25.8925,5.21076,12.8913
0,23.929,5.7894,13.2597
0,20.2507,1.49361,13.628
0,18.938,4.05776,13.9963
0,18.4497,2.44174,14.3646
0,15.2668,2.9827,14.733
0,15.0837,1.69784,15.1013
0,12.1264,0.965114,15.4696
0,10.7253,2.39044,15.8379
0,9.76443,1.70577,16.2063
0,5.96309,1.67796,16.5746
0,4.48822,0.257071,16.9429
0,3.73716,1.15313,17.3112
0,0.419887,1.60122,17.6796
0,0.955006,0.642689,18.0479
0,2.72867,0.44646,18.4162
0,5.67645,0.146831,18.7845
0,8.2305,0.0900835,19.1529
0,11.8033,0.117049,19.5212
0,5.3256,0.174415,19.8895
0,6.34604,0.566217,20.2578
0,12.0721,0.393898,20.6262
0,9.6307,0.272857,20.9945
0,11.2963,0.429103,21.3628
0,8.90757,0.892148,21.7311
0,8.71815,1.7969,22.0994
0,9.72244,2.04976,22.4678
0,7.8431,0.891919,22.8361
0,8.16675,1.21219,23.2044
0,8.8944,1.40354,23.5727
0,14.5312,1.58719,23.9411
0,4.35458,0.685285,24.3094
0,5.12228,1.59613,24.6777
0,3.12939,0.36529,25.046
0,7.52238,1.28767,25.4144
0,4.28975,0.998729,25.7827
0,0.175039,0.232816,26.151
0,0.649349,0.550473,26.5193
0,0.871237,0.0627453,26.8877
0,1.06391,0.341008,27.256
0,3.57228,0.351006,27.6243
0,3.5605,0.0656486,27.9926
0,4.54651,0.518332,28.361
0,6.41588,0.373231,28.7293
0,7.35661,1.25071,29.0976
0,7.71172,1.26755,29.4659
